256,255,2,257,251,0,251,251
5183232,5076393,103740,5180133,4998052,1837566,6835618,3160901
256,3417,935,4352,3272,1604,4876,254
5133056,5029229,104786,5134015,4951281,1722293,6673574,3227827
256,256,0,256,253,0,253,253
5120000,5094616,24903,5119519,5030077,2871637,7901714,2156650
256,256,0,256,252,0,252,252
5182976,5071977,112012,5183989,4992317,1772480,6764797,3218991
256,256,0,256,253,0,253,253
5248512,5045195,202646,5247841,4950685,1154543,6105228,3795861
256,512,0,512,506,0,506,253
5178624,5054187,125583,5179770,4972412,1761525,6733937,3209914
256,255,1,256,252,0,252,252
5055744,4985519,66034,5051553,4915543,1774774,6690317,3139532
256,255,1,256,253,0,253,253
5056768,5005733,51778,5057511,4937094,1879962,6817056,3056199
256,255,1,256,252,0,252,252
5118464,5101490,17501,5118991,5037509,2899112,7936621,0
