53839,52507,8951,61458,0,0,0
69991,68232,11671,79903,0,0,0
134598,131118,22540,153658,0,0,0
269196,261834,45444,307278,0,0,0
339187,329437,57220,386657,0,0,0
387642,378187,64328,442515,0,0,0
446865,434453,75591,510044,0,0,0
538392,523562,90703,614265,0,0,0
597615,582265,99943,682208,0,0,0
672990,656334,111967,768301,0,0,0
764516,749128,127472,876600,0,0,0
1071400,1045394,177314,1222708,0,0,0
5343340,5099435,869300,5968735,0,0,0
6629699,6328426,1081232,7409658,0,0,0
7058486,6733390,1148388,7881778,0,0,0
7547742,7202724,1227563,8430287,0,0,0
8097469,7724419,1319902,9044321,0,0,0
8934235,8345096,1424923,9770019,0,0,0
9703556,9068477,1544602,10613079,0,0,0
10613265,9918549,1687824,11606373,0,0,0
11725130,10619401,1816764,12436165,0,0,0
13100924,11984024,2041067,14025091,0,0,0
13213234,12024922,2102193,14127115,0,0,0
13241311,11982362,2107113,14089475,0,0,0
13275004,12102247,2096547,14198794,0,0,0
13314312,12088973,2097275,14186248,0,0,0
13336774,12066206,2101861,14168067,0,0,0
13370467,11983529,2104412,14087941,0,0,0
13409775,12078504,2100831,14179335,0,0,0
13533316,12091599,2095153,14186752,0,0,0
13567009,12074412,2100581,14174993,0,0,0
13729858,12062798,2101300,14164098,0,0,0
14072403,9856214,1725358,11581572,0,0,0
15015804,9607023,1663233,11270256,0,0,0
15644738,9725944,1684181,11410125,0,0,0
15644738,9870418,1714845,11585263,0,0,0
16093977,12087376,2101685,14189061,0,0,0
16565677,12034112,2110156,14144268,0,0,0
16565677,9561741,1649627,11211368,0,0,0